question,schema_snapshot,generated_sql,execution_success,execution_result_summary,user_satisfaction
지난 60일간 상품별 출고(OUT) 수량 TOP 20,"tables:
products(product_id, sku, name, category, price, active, created_at)
warehouses(warehouse_id, name, region, is_active)
inventory(warehouse_id, product_id, on_hand, reserved, updated_at)
stock_moves(move_id, warehouse_id, product_id, move_type, quantity, moved_at, ref_type, ref_id)
suppliers(supplier_id, name, country, rating, is_active)
purchase_orders(po_id, supplier_id, ordered_at, status, expected_at, total_amount)
purchase_order_items(po_id, product_id, quantity, unit_price)
sales_orders(so_id, customer_id, ordered_at, status, shipped_at, total_amount)
sales_order_items(so_id, product_id, quantity, unit_price)
customers(customer_id, name, region, tier, created_at)

FK:
inventory.product_id -> products.product_id
inventory.warehouse_id -> warehouses.warehouse_id
stock_moves.product_id -> products.product_id
stock_moves.warehouse_id -> warehouses.warehouse_id
purchase_orders.supplier_id -> suppliers.supplier_id
purchase_order_items.po_id -> purchase_orders.po_id
purchase_order_items.product_id -> products.product_id
sales_order_items.so_id -> sales_orders.so_id
sales_order_items.product_id -> products.product_id
sales_orders.customer_id -> customers.customer_id
","SELECT p.product_id, p.sku, p.name, SUM(m.quantity) AS out_qty FROM stock_moves m JOIN products p ON p.product_id=m.product_id WHERE m.move_type='OUT' AND m.moved_at >= NOW() - INTERVAL '60 days' GROUP BY p.product_id, p.sku, p.name ORDER BY out_qty DESC LIMIT 20;",True,"rows returned; columns=(product_id, sku, name, out_qty)",1
발주서 5734의 품목 상세(제품명/수량/단가),"tables:
products(product_id, sku, name, category, price, active, created_at)
warehouses(warehouse_id, name, region, is_active)
inventory(warehouse_id, product_id, on_hand, reserved, updated_at)
stock_moves(move_id, warehouse_id, product_id, move_type, quantity, moved_at, ref_type, ref_id)
suppliers(supplier_id, name, country, rating, is_active)
purchase_orders(po_id, supplier_id, ordered_at, status, expected_at, total_amount)
purchase_order_items(po_id, product_id, quantity, unit_price)
sales_orders(so_id, customer_id, ordered_at, status, shipped_at, total_amount)
sales_order_items(so_id, product_id, quantity, unit_price)
customers(customer_id, name, region, tier, created_at)

FK:
inventory.product_id -> products.product_id
inventory.warehouse_id -> warehouses.warehouse_id
stock_moves.product_id -> products.product_id
stock_moves.warehouse_id -> warehouses.warehouse_id
purchase_orders.supplier_id -> suppliers.supplier_id
purchase_order_items.po_id -> purchase_orders.po_id
purchase_order_items.product_id -> products.product_id
sales_order_items.so_id -> sales_orders.so_id
sales_order_items.product_id -> products.product_id
sales_orders.customer_id -> customers.customer_id
","SELECT poi.product_id, p.sku, p.name, poi.quantity, poi.unit_price FROM purchase_order_items poi JOIN products p ON p.product_id=poi.product_id WHERE poi.po_id = 5734 ORDER BY p.name LIMIT 500;",True,"rows returned; columns=(product_id, sku, name, quantity, unit_price)",1
지역 'Seoul' 창고에서 가용재고가 5 미만인 상품(제품명 포함),"tables:
products(product_id, sku, name, category, price, active, created_at)
warehouses(warehouse_id, name, region, is_active)
inventory(warehouse_id, product_id, on_hand, reserved, updated_at)
stock_moves(move_id, warehouse_id, product_id, move_type, quantity, moved_at, ref_type, ref_id)
suppliers(supplier_id, name, country, rating, is_active)
purchase_orders(po_id, supplier_id, ordered_at, status, expected_at, total_amount)
purchase_order_items(po_id, product_id, quantity, unit_price)
sales_orders(so_id, customer_id, ordered_at, status, shipped_at, total_amount)
sales_order_items(so_id, product_id, quantity, unit_price)
customers(customer_id, name, region, tier, created_at)

FK:
inventory.product_id -> products.product_id
inventory.warehouse_id -> warehouses.warehouse_id
stock_moves.product_id -> products.product_id
stock_moves.warehouse_id -> warehouses.warehouse_id
purchase_orders.supplier_id -> suppliers.supplier_id
purchase_order_items.po_id -> purchase_orders.po_id
purchase_order_items.product_id -> products.product_id
sales_order_items.so_id -> sales_orders.so_id
sales_order_items.product_id -> products.product_id
sales_orders.customer_id -> customers.customer_id
","SELECT w.warehouse_id, w.name AS warehouse_name, p.product_id, p.sku, p.name, (i.on_hand - i.reserved) AS available FROM warehouses w JOIN inventory i ON i.warehouse_id=w.warehouse_id JOIN products p ON p.product_id=i.product_id WHERE w.region = 'Seoul' AND (i.on_hand - i.reserved) < 5 ORDER BY available ASC LIMIT 500;",True,"rows returned; columns=(warehouse_id, warehouse_name, product_id, sku, name, available)",1
카테고리 'Home' 상품 중 가용재고 TOP 10 (전창고 합산),"tables:
products(product_id, sku, name, category, price, active, created_at)
warehouses(warehouse_id, name, region, is_active)
inventory(warehouse_id, product_id, on_hand, reserved, updated_at)
stock_moves(move_id, warehouse_id, product_id, move_type, quantity, moved_at, ref_type, ref_id)
suppliers(supplier_id, name, country, rating, is_active)
purchase_orders(po_id, supplier_id, ordered_at, status, expected_at, total_amount)
purchase_order_items(po_id, product_id, quantity, unit_price)
sales_orders(so_id, customer_id, ordered_at, status, shipped_at, total_amount)
sales_order_items(so_id, product_id, quantity, unit_price)
customers(customer_id, name, region, tier, created_at)

FK:
inventory.product_id -> products.product_id
inventory.warehouse_id -> warehouses.warehouse_id
stock_moves.product_id -> products.product_id
stock_moves.warehouse_id -> warehouses.warehouse_id
purchase_orders.supplier_id -> suppliers.supplier_id
purchase_order_items.po_id -> purchase_orders.po_id
purchase_order_items.product_id -> products.product_id
sales_order_items.so_id -> sales_orders.so_id
sales_order_items.product_id -> products.product_id
sales_orders.customer_id -> customers.customer_id
","SELECT p.product_id, p.sku, p.name, SUM(i.on_hand - i.reserved) AS total_available FROM products p JOIN inventory i ON i.product_id=p.product_id WHERE p.category = 'Home' AND p.active = true GROUP BY p.product_id, p.sku, p.name ORDER BY total_available DESC LIMIT 10;",True,"rows returned; columns=(product_id, sku, name, total_available)",1
최근 14일 상품별 매출 TOP 10,"tables:
products(product_id, sku, name, category, price, active, created_at)
warehouses(warehouse_id, name, region, is_active)
inventory(warehouse_id, product_id, on_hand, reserved, updated_at)
stock_moves(move_id, warehouse_id, product_id, move_type, quantity, moved_at, ref_type, ref_id)
suppliers(supplier_id, name, country, rating, is_active)
purchase_orders(po_id, supplier_id, ordered_at, status, expected_at, total_amount)
purchase_order_items(po_id, product_id, quantity, unit_price)
sales_orders(so_id, customer_id, ordered_at, status, shipped_at, total_amount)
sales_order_items(so_id, product_id, quantity, unit_price)
customers(customer_id, name, region, tier, created_at)

FK:
inventory.product_id -> products.product_id
inventory.warehouse_id -> warehouses.warehouse_id
stock_moves.product_id -> products.product_id
stock_moves.warehouse_id -> warehouses.warehouse_id
purchase_orders.supplier_id -> suppliers.supplier_id
purchase_order_items.po_id -> purchase_orders.po_id
purchase_order_items.product_id -> products.product_id
sales_order_items.so_id -> sales_orders.so_id
sales_order_items.product_id -> products.product_id
sales_orders.customer_id -> customers.customer_id
","SELECT p.product_id, p.sku, p.name, SUM(soi.quantity * soi.unit_price) AS revenue FROM sales_order_items soi JOIN sales_orders so ON so.so_id=soi.so_id JOIN products p ON p.product_id=soi.product_id WHERE so.ordered_at >= NOW() - INTERVAL '14 days' AND so.status IN ('PAID','SHIPPED','DELIVERED') GROUP BY p.product_id, p.sku, p.name ORDER BY revenue DESC LIMIT 10;",True,"rows returned; columns=(product_id, sku, name, revenue)",1
이상치 탐지: 지난 90일간 ADJUST 수량이 큰 상품 TOP 5,"tables:
products(product_id, sku, name, category, price, active, created_at)
warehouses(warehouse_id, name, region, is_active)
inventory(warehouse_id, product_id, on_hand, reserved, updated_at)
stock_moves(move_id, warehouse_id, product_id, move_type, quantity, moved_at, ref_type, ref_id)
suppliers(supplier_id, name, country, rating, is_active)
purchase_orders(po_id, supplier_id, ordered_at, status, expected_at, total_amount)
purchase_order_items(po_id, product_id, quantity, unit_price)
sales_orders(so_id, customer_id, ordered_at, status, shipped_at, total_amount)
sales_order_items(so_id, product_id, quantity, unit_price)
customers(customer_id, name, region, tier, created_at)

FK:
inventory.product_id -> products.product_id
inventory.warehouse_id -> warehouses.warehouse_id
stock_moves.product_id -> products.product_id
stock_moves.warehouse_id -> warehouses.warehouse_id
purchase_orders.supplier_id -> suppliers.supplier_id
purchase_order_items.po_id -> purchase_orders.po_id
purchase_order_items.product_id -> products.product_id
sales_order_items.so_id -> sales_orders.so_id
sales_order_items.product_id -> products.product_id
sales_orders.customer_id -> customers.customer_id
","SELECT p.product_id, p.sku, p.name, SUM(ABS(m.quantity)) AS adjust_abs_qty FROM stock_moves m JOIN products p ON p.product_id=m.product_id WHERE m.move_type='ADJUST' AND m.moved_at >= NOW() - INTERVAL '90 days' GROUP BY p.product_id, p.sku, p.name ORDER BY adjust_abs_qty DESC LIMIT 5;",True,"rows returned; columns=(product_id, sku, name, adjust_abs_qty)",1
발주서 3753의 품목 상세(제품명/수량/단가),"tables:
products(product_id, sku, name, category, price, active, created_at)
warehouses(warehouse_id, name, region, is_active)
inventory(warehouse_id, product_id, on_hand, reserved, updated_at)
stock_moves(move_id, warehouse_id, product_id, move_type, quantity, moved_at, ref_type, ref_id)
suppliers(supplier_id, name, country, rating, is_active)
purchase_orders(po_id, supplier_id, ordered_at, status, expected_at, total_amount)
purchase_order_items(po_id, product_id, quantity, unit_price)
sales_orders(so_id, customer_id, ordered_at, status, shipped_at, total_amount)
sales_order_items(so_id, product_id, quantity, unit_price)
customers(customer_id, name, region, tier, created_at)

FK:
inventory.product_id -> products.product_id
inventory.warehouse_id -> warehouses.warehouse_id
stock_moves.product_id -> products.product_id
stock_moves.warehouse_id -> warehouses.warehouse_id
purchase_orders.supplier_id -> suppliers.supplier_id
purchase_order_items.po_id -> purchase_orders.po_id
purchase_order_items.product_id -> products.product_id
sales_order_items.so_id -> sales_orders.so_id
sales_order_items.product_id -> products.product_id
sales_orders.customer_id -> customers.customer_id
","SELECT poi.product_id, p.sku, p.name, poi.quantity, poi.unit_price FROM purchase_order_items poi JOIN products p ON p.product_id=poi.product_id WHERE poi.po_id = 3753 ORDER BY p.name LIMIT 500;",True,"rows returned; columns=(product_id, sku, name, quantity, unit_price)",1
가용재고(=on_hand-reserved)가 10 미만인 상품 목록(창고별) 보여줘,"tables:
products(product_id, sku, name, category, price, active, created_at)
warehouses(warehouse_id, name, region, is_active)
inventory(warehouse_id, product_id, on_hand, reserved, updated_at)
stock_moves(move_id, warehouse_id, product_id, move_type, quantity, moved_at, ref_type, ref_id)
suppliers(supplier_id, name, country, rating, is_active)
purchase_orders(po_id, supplier_id, ordered_at, status, expected_at, total_amount)
purchase_order_items(po_id, product_id, quantity, unit_price)
sales_orders(so_id, customer_id, ordered_at, status, shipped_at, total_amount)
sales_order_items(so_id, product_id, quantity, unit_price)
customers(customer_id, name, region, tier, created_at)

FK:
inventory.product_id -> products.product_id
inventory.warehouse_id -> warehouses.warehouse_id
stock_moves.product_id -> products.product_id
stock_moves.warehouse_id -> warehouses.warehouse_id
purchase_orders.supplier_id -> suppliers.supplier_id
purchase_order_items.po_id -> purchase_orders.po_id
purchase_order_items.product_id -> products.product_id
sales_order_items.so_id -> sales_orders.so_id
sales_order_items.product_id -> products.product_id
sales_orders.customer_id -> customers.customer_id
","SELECT i.warehouse_id, w.name AS warehouse_name, i.product_id, p.sku, p.name, (i.on_hand - i.reserved) AS available FROM inventory i JOIN products p ON p.product_id=i.product_id JOIN warehouses w ON w.warehouse_id=i.warehouse_id WHERE (i.on_hand - i.reserved) < 10 ORDER BY available ASC LIMIT 500;",True,"rows returned; columns=(warehouse_id, warehouse_name, product_id, sku, name, available)",1
카테고리별 가용재고 합계(전창고) 집계해줘,"tables:
products(product_id, sku, name, category, price, active, created_at)
warehouses(warehouse_id, name, region, is_active)
inventory(warehouse_id, product_id, on_hand, reserved, updated_at)
stock_moves(move_id, warehouse_id, product_id, move_type, quantity, moved_at, ref_type, ref_id)
suppliers(supplier_id, name, country, rating, is_active)
purchase_orders(po_id, supplier_id, ordered_at, status, expected_at, total_amount)
purchase_order_items(po_id, product_id, quantity, unit_price)
sales_orders(so_id, customer_id, ordered_at, status, shipped_at, total_amount)
sales_order_items(so_id, product_id, quantity, unit_price)
customers(customer_id, name, region, tier, created_at)

FK:
inventory.product_id -> products.product_id
inventory.warehouse_id -> warehouses.warehouse_id
stock_moves.product_id -> products.product_id
stock_moves.warehouse_id -> warehouses.warehouse_id
purchase_orders.supplier_id -> suppliers.supplier_id
purchase_order_items.po_id -> purchase_orders.po_id
purchase_order_items.product_id -> products.product_id
sales_order_items.so_id -> sales_orders.so_id
sales_order_items.product_id -> products.product_id
sales_orders.customer_id -> customers.customer_id
","SELECT p.category, SUM(i.on_hand - i.reserved) AS total_available FROM inventory i JOIN products p ON p.product_id=i.product_id GROUP BY p.category ORDER BY total_available DESC LIMIT 500;",True,"rows returned; columns=(category, total_available)",1
공급사별 최근 90일 발주금액 합계 TOP 10,"tables:
products(product_id, sku, name, category, price, active, created_at)
warehouses(warehouse_id, name, region, is_active)
inventory(warehouse_id, product_id, on_hand, reserved, updated_at)
stock_moves(move_id, warehouse_id, product_id, move_type, quantity, moved_at, ref_type, ref_id)
suppliers(supplier_id, name, country, rating, is_active)
purchase_orders(po_id, supplier_id, ordered_at, status, expected_at, total_amount)
purchase_order_items(po_id, product_id, quantity, unit_price)
sales_orders(so_id, customer_id, ordered_at, status, shipped_at, total_amount)
sales_order_items(so_id, product_id, quantity, unit_price)
customers(customer_id, name, region, tier, created_at)

FK:
inventory.product_id -> products.product_id
inventory.warehouse_id -> warehouses.warehouse_id
stock_moves.product_id -> products.product_id
stock_moves.warehouse_id -> warehouses.warehouse_id
purchase_orders.supplier_id -> suppliers.supplier_id
purchase_order_items.po_id -> purchase_orders.po_id
purchase_order_items.product_id -> products.product_id
sales_order_items.so_id -> sales_orders.so_id
sales_order_items.product_id -> products.product_id
sales_orders.customer_id -> customers.customer_id
","SELECT s.supplier_id, s.name, SUM(po.total_amount) AS total_po_amount FROM purchase_orders po JOIN suppliers s ON s.supplier_id=po.supplier_id WHERE po.ordered_at >= NOW() - INTERVAL '90 days' AND po.status IN ('APPROVED','RECEIVED') GROUP BY s.supplier_id, s.name ORDER BY total_po_amount DESC LIMIT 10;",True,"rows returned; columns=(supplier_id, name, total_po_amount)",1
