request_id,question,generated_sql,execution_success,result_row_count,result_preview,label,label_reason,timestamp
b537f25e-fe73-4e36-a77a-6b7ebfd5fe96,"10AX115H3F34E2SG 제품의 설명, 표준원가, 표준판매가는?","SELECT part_number, description, std_unit_cost, std_selling_price FROM products WHERE part_number='10AX115H3F34E2SG';",True,1,"[{""part_number"": ""10AX115H3F34E2SG"", ""description"": ""IC"", ""std_unit_cost"": 14000.0, ""std_selling_price"": 15400.0}]",1,,2026-02-27 08:25:45
a6112f6e-4828-4c0d-b404-defcaead3a0a,10AX115H3F34E2SG의 현재 재고 수량은?,"SELECT part_number, current_quantity, last_updated FROM current_products WHERE part_number='10AX115H3F34E2SG';",True,1,"[{""part_number"": ""10AX115H3F34E2SG"", ""current_quantity"": 49200, ""last_updated"": ""2026-02-19""}]",1,,2026-02-27 08:25:45
373e8fcd-bb79-4bb6-a5a7-66f43c1d1287,10AX115H3F34E2SG의 초기 재고 수량은?,"SELECT part_number, initial_quantity, stock_date FROM initial_inventory WHERE part_number='10AX115H3F34E2SG';",True,1,"[{""part_number"": ""10AX115H3F34E2SG"", ""initial_quantity"": 245, ""stock_date"": ""2022-12-31""}]",1,,2026-02-27 08:25:45
3e4d3494-eac7-4371-8947-da47314f5909,"10CX105YF780E6G 제품의 설명, 표준원가, 표준판매가는?","SELECT part_number, description, std_unit_cost, std_selling_price FROM products WHERE part_number='10CX105YF780E6G';",True,1,"[{""part_number"": ""10CX105YF780E6G"", ""description"": ""IC"", ""std_unit_cost"": 9000.0, ""std_selling_price"": 9900.0}]",1,,2026-02-27 08:25:45
bd9e1f54-d859-4393-a177-d34d9c4dc859,10CX105YF780E6G의 현재 재고 수량은?,"SELECT part_number, current_quantity, last_updated FROM current_products WHERE part_number='10CX105YF780E6G';",True,1,"[{""part_number"": ""10CX105YF780E6G"", ""current_quantity"": 36081, ""last_updated"": ""2026-02-19""}]",1,,2026-02-27 08:25:45
3a5789b6-bdef-4d81-95ac-c04c031fce6c,10CX105YF780E6G의 초기 재고 수량은?,"SELECT part_number, initial_quantity, stock_date FROM initial_inventory WHERE part_number='10CX105YF780E6G';",True,1,"[{""part_number"": ""10CX105YF780E6G"", ""initial_quantity"": 623, ""stock_date"": ""2022-12-31""}]",1,,2026-02-27 08:25:45
6f4bd3be-feee-4a1d-a05f-1692d73216d5,"10M02SCU169C8G 제품의 설명, 표준원가, 표준판매가는?","SELECT part_number, description, std_unit_cost, std_selling_price FROM products WHERE part_number='10M02SCU169C8G';",True,1,"[{""part_number"": ""10M02SCU169C8G"", ""description"": ""IC"", ""std_unit_cost"": 6000.0, ""std_selling_price"": 6600.0}]",1,,2026-02-27 08:25:45
c6a591d5-181d-4536-b75f-9806ab434c79,10M02SCU169C8G의 현재 재고 수량은?,"SELECT part_number, current_quantity, last_updated FROM current_products WHERE part_number='10M02SCU169C8G';",True,1,"[{""part_number"": ""10M02SCU169C8G"", ""current_quantity"": 34715, ""last_updated"": ""2026-02-19""}]",1,,2026-02-27 08:25:45
307d1137-d972-4e24-82f6-a7cd4cd82e85,10M02SCU169C8G의 초기 재고 수량은?,"SELECT part_number, initial_quantity, stock_date FROM initial_inventory WHERE part_number='10M02SCU169C8G';",True,1,"[{""part_number"": ""10M02SCU169C8G"", ""initial_quantity"": 664, ""stock_date"": ""2022-12-31""}]",1,,2026-02-27 08:25:45
8dc4e64f-60e8-4b82-94fe-3307a9a3de7e,"10M16SAU169I7G 제품의 설명, 표준원가, 표준판매가는?","SELECT part_number, description, std_unit_cost, std_selling_price FROM products WHERE part_number='10M16SAU169I7G';",True,1,"[{""part_number"": ""10M16SAU169I7G"", ""description"": ""IC"", ""std_unit_cost"": 15000.0, ""std_selling_price"": 16500.0}]",1,,2026-02-27 08:25:45
ab1a250c-d39b-4cf2-b686-68096e2cd170,10M16SAU169I7G의 현재 재고 수량은?,"SELECT part_number, current_quantity, last_updated FROM current_products WHERE part_number='10M16SAU169I7G';",True,1,"[{""part_number"": ""10M16SAU169I7G"", ""current_quantity"": 36345, ""last_updated"": ""2026-02-19""}]",1,,2026-02-27 08:25:45
