question,pattern_id,slots_json
"10AX115H3F34E2SG 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""10AX115H3F34E2SG""}"
10AX115H3F34E2SG의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""10AX115H3F34E2SG""}"
10AX115H3F34E2SG의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""10AX115H3F34E2SG""}"
"10CX105YF780E6G 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""10CX105YF780E6G""}"
10CX105YF780E6G의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""10CX105YF780E6G""}"
10CX105YF780E6G의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""10CX105YF780E6G""}"
"10M02SCU169C8G 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""10M02SCU169C8G""}"
10M02SCU169C8G의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""10M02SCU169C8G""}"
10M02SCU169C8G의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""10M02SCU169C8G""}"
"10M16SAU169I7G 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""10M16SAU169I7G""}"
10M16SAU169I7G의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""10M16SAU169I7G""}"
10M16SAU169I7G의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""10M16SAU169I7G""}"
"213X4VCAA21 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""213X4VCAA21""}"
213X4VCAA21의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""213X4VCAA21""}"
213X4VCAA21의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""213X4VCAA21""}"
"215H48BGA21HG 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""215H48BGA21HG""}"
215H48BGA21HG의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""215H48BGA21HG""}"
215H48BGA21HG의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""215H48BGA21HG""}"
"216TQA6AVA12FG 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""216TQA6AVA12FG""}"
216TQA6AVA12FG의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""216TQA6AVA12FG""}"
216TQA6AVA12FG의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""216TQA6AVA12FG""}"
"25LC160BT-I/ST 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""25LC160BT-I/ST""}"
25LC160BT-I/ST의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""25LC160BT-I/ST""}"
25LC160BT-I/ST의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""25LC160BT-I/ST""}"
"5AGTFD3H3F35I3NAA 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""5AGTFD3H3F35I3NAA""}"
5AGTFD3H3F35I3NAA의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""5AGTFD3H3F35I3NAA""}"
5AGTFD3H3F35I3NAA의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""5AGTFD3H3F35I3NAA""}"
"5CEFA5F23I7N 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""5CEFA5F23I7N""}"
5CEFA5F23I7N의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""5CEFA5F23I7N""}"
5CEFA5F23I7N의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""5CEFA5F23I7N""}"
"5CGTFD5C5F23I7N 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""5CGTFD5C5F23I7N""}"
5CGTFD5C5F23I7N의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""5CGTFD5C5F23I7N""}"
5CGTFD5C5F23I7N의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""5CGTFD5C5F23I7N""}"
"5J29902A 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""5J29902A""}"
5J29902A의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""5J29902A""}"
5J29902A의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""5J29902A""}"
"64M29EWB 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""64M29EWB""}"
64M29EWB의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""64M29EWB""}"
64M29EWB의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""64M29EWB""}"
"64M29EWL 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""64M29EWL""}"
64M29EWL의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""64M29EWL""}"
64M29EWL의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""64M29EWL""}"
"680-64-SM-G10-R14-1 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""680-64-SM-G10-R14-1""}"
680-64-SM-G10-R14-1의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""680-64-SM-G10-R14-1""}"
680-64-SM-G10-R14-1의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""680-64-SM-G10-R14-1""}"
"71V2556SA133BG 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""71V2556SA133BG""}"
71V2556SA133BG의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""71V2556SA133BG""}"
71V2556SA133BG의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""71V2556SA133BG""}"
"75K62100S83RX 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""75K62100S83RX""}"
75K62100S83RX의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""75K62100S83RX""}"
75K62100S83RX의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""75K62100S83RX""}"
"80-CBR04C229B5G 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""80-CBR04C229B5G""}"
80-CBR04C229B5G의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""80-CBR04C229B5G""}"
